chapter_key,chapter_name,chapter_type_code,university,district,region,status_code,is_dechartered
730,Pi Alpha,collegiate,Clemson University,South Carolina,Southern,Active,false
634,Pi Alpha Lambda,alumni,,Texas,Southwestern,Active,false
731,Pi Beta,collegiate,Suny at Binghamton,New York,Eastern,Active,false
635,Pi Beta Lambda,alumni,,"Arizona, Nevada, New Mexico",Western,Dechartered,true
750,Pi Chi,collegiate,Eastern New Mexico University,"Arizona, Nevada, New Mexico",Western,Dechartered,true
654,Pi Chi Lambda,alumni,,North Carolina,Southern,Dechartered,true
733,Pi Delta,collegiate,University of West Alabama,Alabama,Southern,Active,false
637,Pi Delta Lambda,alumni,,South Carolina,Southern,Active,false
734,Pi Epsilon,collegiate,"Cal State University, San Bernadino",Southern California,Western,Suspended,false
638,Pi Epsilon Lambda,alumni,,Alabama,Southern,Inactive,false
736,Pi Eta,collegiate,New Mexico State University,"Arizona, Nevada, New Mexico",Western,Dechartered,true
640,Pi Eta Lambda,alumni,,Georgia,Southern,Active,false
732,Pi Gamma,collegiate,Sacramento State University,Northern California,Western,Active,false
636,Pi Gamma Lambda,alumni,,Georgia,Southern,Active,false
738,Pi Iota,collegiate,,Illinois,Midwestern,Dechartered,true
642,Pi Iota Lambda,alumni,,Georgia,Southern,Inactive,false
739,Pi Kappa,collegiate,"Cal State University, Northridge",Southern California,Western,Active,false
643,Pi Kappa Lambda,alumni,,,Southwestern,Dechartered,true
115,Pi Lambda,alumni,,Arkansas,Southwestern,Active,false
740,Pi Mu,collegiate,West Virginia University,West Virginia,Midwestern,Active,false
644,Pi Mu Lambda,alumni,,,Midwestern,Dechartered,true
741,Pi Nu,collegiate,Appalachian State University,North Carolina,Southern,Active,false
645,Pi Nu Lambda,alumni,,Arkansas,Southwestern,Active,false
743,Pi Omicron,collegiate,Texas A and M University,Texas,Southwestern,Active,false
647,Pi Omicron Lambda,alumni,,Kansas,Midwestern,Active,false
749,Pi Phi,collegiate,Wright State University,Ohio,Midwestern,Active,false
653,Pi Phi Lambda,alumni,,,Southwestern,Dechartered,true
744,Pi Pi,collegiate,Union College,New York,Eastern,Inactive,false
648,Pi Pi Lambda,alumni,,Louisiana,Southwestern,Active,false
751,Pi Psi,collegiate,"University of Arkansas, Monticello",Arkansas,Southwestern,Inactive,false
655,Pi Psi Lambda,alumni,,Florida,Southern,Active,false
745,Pi Rho,collegiate,Temple University,Pennsylvania,Eastern,Active,false
649,Pi Rho Lambda,alumni,,Southern California,Western,Active,false
746,Pi Sigma,collegiate,,Illinois,Midwestern,Inactive,false
650,Pi Sigma Lambda,alumni,,Mississippi,Southern,Active,false
747,Pi Tau,collegiate,,Georgia,Southern,Dechartered,true
651,Pi Tau Lambda,alumni,,New England,Eastern,Inactive,false
737,Pi Theta,collegiate,Coppin State University,"Washington DC, Maryland, Delaware",Eastern,Active,false
641,Pi Theta Lambda,alumni,,Texas,Southwestern,Active,false
748,Pi Upsilon,collegiate,University of Michigan - Dearborn,Michigan,Midwestern,Active,false
652,Pi Upsilon Lambda,alumni,,"Washington DC, Maryland, Delaware",Eastern,Active,false
742,Pi Xi,collegiate,Stockton University,New Jersey,Eastern,Inactive,false
646,Pi Xi Lambda,alumni,,Rocky Mountain (Colorado/Utah),Western,Active,false
735,Pi Zeta,collegiate,University of NC at Greensboro,North Carolina,Southern,Active,false
639,Pi Zeta Lambda,alumni,,"Arizona, Nevada, New Mexico",Western,Active,false
22,Psi,collegiate,University of Penn,Pennsylvania,Eastern,Active,false
122,Psi Lambda,alumni,,Tennessee,Southern,Active,false
"9,999",Renounced Chapter,unknown,,Renounced,Region 7,Dechartered,true
16,Rho,alumni,,Pennsylvania,Eastern,Probation,false
752,Rho Alpha,collegiate,Suny College at Brockport,New York,Eastern,Inactive,false
