chapter_key,chapter_name,district,region,district_director_name,district_director_email,regional_vice_president_name,regional_vice_president_email
2,Beta,"Washington DC, Maryland, Delaware",Eastern,,,,
45,Beta Alpha,"Washington DC, Maryland, Delaware",Eastern,,,,
145,Beta Alpha Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
46,Beta Beta,Nebraska,Midwestern,,,,
146,Beta Beta Lambda,Florida,Southern,,,,
65,Beta Chi,Arkansas,Southwestern,,,,
165,Beta Chi Lambda,Oklahoma,Southwestern,,,,
48,Beta Delta,South Carolina,Southern,,,,
148,Beta Delta Lambda,Florida,Southern,,,,
49,Beta Epsilon,North Carolina,Southern,,,,
149,Beta Epsilon Lambda,Oklahoma,Southwestern,,,,
51,Beta Eta,Illinois,Midwestern,,,,
151,Beta Eta Lambda,Oklahoma,Southwestern,,,,
47,Beta Gamma,Virginia,Eastern,,,,
147,Beta Gamma Lambda,Virginia,Eastern,,,,
53,Beta Iota,North Carolina,Southern,,,,
153,Beta Iota Lambda,Louisiana,Southwestern,,,,
54,Beta Kappa,Oklahoma,Southwestern,,,,
154,Beta Kappa Lambda,South Carolina,Southern,,,,
102,Beta Lambda,Missouri,Midwestern,,,,
55,Beta Mu,Kentucky,Midwestern,,,,
155,Beta Mu Lambda,North Carolina,Southern,,,,
56,Beta Nu,Florida,Southern,,,,
156,Beta Nu Lambda,North Carolina,Southern,,,,
58,Beta Omicron,Tennessee,Southern,,,,
158,Beta Omicron Lambda,Alabama,Southern,,,,
64,Beta Phi,Louisiana,Southwestern,,,,
164,Beta Phi Lambda,Georgia,Southern,,,,
59,Beta Pi,Tennessee,Southern,,,,
159,Beta Pi Lambda,New York,Eastern,,,,
66,Beta Psi,International,Eastern,,,,
166,Beta Psi Lambda,Southern California,Western,,,,
60,Beta Rho,North Carolina,Southern,,,,
160,Beta Rho Lambda,Ohio,Midwestern,,,,
61,Beta Sigma,Louisiana,Southwestern,,,,
161,Beta Sigma Lambda,New England,Eastern,,,,
62,Beta Tau,Louisiana,Southwestern,,,,
162,Beta Tau Lambda,Texas,Southwestern,,,,
52,Beta Theta,West Virginia,Midwestern,,,,
152,Beta Theta Lambda,North Carolina,Southern,,,,
63,Beta Upsilon,Alabama,Southern,,,,
163,Beta Upsilon Lambda,Tennessee,Southern,,,,
57,Beta Xi,Tennessee,Southern,,,,
157,Beta Xi Lambda,Nebraska,Midwestern,,,,
50,Beta Zeta,North Carolina,Southern,,,,
150,Beta Zeta Lambda,Missouri,Midwestern,,,,
21,Chi,Tennessee,Southern,,,,
121,Chi Lambda,Ohio,Midwestern,,,,
4,Delta,Texas,Southwestern,,,,
89,Delta Alpha,South Carolina,Southern,,,,
189,Delta Alpha Lambda,Ohio,Midwestern,,,,
90,Delta Beta,Florida,Southern,,,,
190,Delta Beta Lambda,Virginia,Eastern,,,,
308,Delta Chi,New York,Eastern,,,,
210,Delta Chi Lambda,Wisconsin,Midwestern,,,,
92,Delta Delta,Georgia,Southern,,,,
192,Delta Delta Lambda,Florida,Southern,,,,
93,Delta Epsilon,New York,Eastern,,,,
193,Delta Epsilon Lambda,Illinois,Midwestern,,,,
95,Delta Eta,Georgia,Southern,,,,
195,Delta Eta Lambda,Kansas,Midwestern,,,,
91,Delta Gamma,Alabama,Southern,,,,
191,Delta Gamma Lambda,Ohio,Midwestern,,,,
97,Delta Iota,New Jersey,Eastern,,,,
197,Delta Iota Lambda,Georgia,Southern,,,,
98,Delta Kappa,Mississippi,Southern,,,,
198,Delta Kappa Lambda,South Carolina,Southern,,,,
104,Delta Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
99,Delta Mu,Kansas,Midwestern,,,,
199,Delta Mu Lambda,New Jersey,Eastern,,,,
100,Delta Nu,"Washington DC, Maryland, Delaware",Eastern,,,,
200,Delta Nu Lambda,Virginia,Eastern,,,,
301,Delta Omicron,Northern California,Western,,,,
203,Delta Omicron Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
307,Delta Phi,Mississippi,Southern,,,,
209,Delta Phi Lambda,Alabama,Southern,,,,
302,Delta Pi,Pennsylvania,Eastern,,,,
204,Delta Pi Lambda,Alabama,Southern,,,,
309,Delta Psi,Florida,Southern,,,,
211,Delta Psi Lambda,Rocky Mountain (Colorado/Utah),Western,,,,
303,Delta Rho,Missouri,Midwestern,,,,
205,Delta Rho Lambda,Texas,Southwestern,,,,
304,Delta Sigma,Louisiana,Southwestern,,,,
206,Delta Sigma Lambda,Arkansas,Southwestern,,,,
305,Delta Tau,Virginia,Eastern,,,,
207,Delta Tau Lambda,"Arizona, Nevada, New Mexico",Western,,,,
96,Delta Theta,Texas,Southwestern,,,,
196,Delta Theta Lambda,Alabama,Southern,,,,
306,Delta Upsilon,Ohio,Midwestern,,,,
208,Delta Upsilon Lambda,Louisiana,Southwestern,,,,
300,Delta Xi,Ohio,Midwestern,,,,
202,Delta Xi Lambda,Florida,Southern,,,,
94,Delta Zeta,New York,Eastern,,,,
194,Delta Zeta Lambda,South Carolina,Southern,,,,
5,Epsilon,Michigan,Midwestern,,,,
310,Epsilon Alpha,Ohio,Midwestern,,,,
212,Epsilon Alpha Lambda,Arkansas,Southwestern,,,,
311,Epsilon Beta,Northern California,Western,,,,
213,Epsilon Beta Lambda,Georgia,Southern,,,,
330,Epsilon Chi,Kentucky,Midwestern,,,,
232,Epsilon Chi Lambda,North Carolina,Southern,,,,
313,Epsilon Delta,Ohio,Midwestern,,,,
215,Epsilon Delta Lambda,Alabama,Southern,,,,
314,Epsilon Epsilon,Oklahoma,Southwestern,,,,
216,Epsilon Epsilon Lambda,Texas,Southwestern,,,,
316,Epsilon Eta,Michigan,Midwestern,,,,
218,Epsilon Eta Lambda,Missouri,Midwestern,,,,
312,Epsilon Gamma,Texas,Southwestern,,,,
214,Epsilon Gamma Lambda,New England,Eastern,,,,
318,Epsilon Iota,Texas,Southwestern,,,,
220,Epsilon Iota Lambda,Virginia,Eastern,,,,
319,Epsilon Kappa,Illinois,Midwestern,,,,
221,Epsilon Kappa Lambda,Louisiana,Southwestern,,,,
105,Epsilon Lambda,Missouri,Midwestern,,,,
320,Epsilon Mu,Northern California,Western,,,,
222,Epsilon Mu Lambda,Florida,Southern,,,,
321,Epsilon Nu,Alabama,Southern,,,,
223,Epsilon Nu Lambda,Virginia,Eastern,,,,
323,Epsilon Omicron,Kansas,Midwestern,,,,
225,Epsilon Omicron Lambda,Virginia,Eastern,,,,
329,Epsilon Phi,Illinois,Midwestern,,,,
231,Epsilon Phi Lambda,Texas,Southwestern,,,,
324,Epsilon Pi,Virginia,Eastern,,,,
226,Epsilon Pi Lambda,Florida,Southern,,,,
331,Epsilon Psi,Missouri,Midwestern,,,,
233,Epsilon Psi Lambda,Louisiana,Southwestern,,,,
325,Epsilon Rho,Texas,Southwestern,,,,
227,Epsilon Rho Lambda,North Carolina,Southern,,,,
326,Epsilon Sigma,Texas,Southwestern,,,,
228,Epsilon Sigma Lambda,North Carolina,Southern,,,,
327,Epsilon Tau,Wisconsin,Midwestern,,,,
229,Epsilon Tau Lambda,Texas,Southwestern,,,,
317,Epsilon Theta,Ohio,Midwestern,,,,
219,Epsilon Theta Lambda,International,Eastern,,,,
328,Epsilon Upsilon,Louisiana,Southwestern,,,,
230,Epsilon Upsilon Lambda,Michigan,Midwestern,,,,
322,Epsilon Xi,Michigan,Midwestern,,,,
224,Epsilon Xi Lambda,Mississippi,Southern,,,,
315,Epsilon Zeta,North Carolina,Southern,,,,
217,Epsilon Zeta Lambda,Great Northwest,Western,,,,
7,Eta,New York,Eastern,,,,
354,Eta Alpha,Georgia,Southern,,,,
256,Eta Alpha Lambda,New England,Eastern,,,,
355,Eta Beta,Wisconsin,Midwestern,,,,
257,Eta Beta Lambda,Kansas,Midwestern,,,,
374,Eta Chi,Louisiana,Southwestern,,,,
276,Eta Chi Lambda,New York,Eastern,,,,
357,Eta Delta,Florida,Southern,,,,
259,Eta Delta Lambda,Louisiana,Southwestern,,,,
358,Eta Epsilon,Texas,Southwestern,,,,
260,Eta Epsilon Lambda,International,Eastern,,,,
360,Eta Eta,Illinois,Midwestern,,,,
262,Eta Eta Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
356,Eta Gamma,Texas,Southwestern,,,,
258,Eta Gamma Lambda,Louisiana,Southwestern,,,,
362,Eta Iota,South Carolina,Southern,,,,
264,Eta Iota Lambda,Georgia,Southern,,,,
363,Eta Kappa,Louisiana,Southwestern,,,,
265,Eta Kappa Lambda,Florida,Southern,,,,
107,Eta Lambda,Georgia,Southern,,,,
364,Eta Mu,Texas,Southwestern,,,,
266,Eta Mu Lambda,North Carolina,Southern,,,,
365,Eta Nu,North Carolina,Southern,,,,
267,Eta Nu Lambda,Michigan,Midwestern,,,,
367,Eta Omicron,North Carolina,Southern,,,,
269,Eta Omicron Lambda,South Carolina,Southern,,,,
373,Eta Phi,Tennessee,Southern,,,,
275,Eta Phi Lambda,Mississippi,Southern,,,,
368,Eta Pi,Wisconsin,Midwestern,,,,
270,Eta Pi Lambda,Southern California,Western,,,,
375,Eta Psi,Texas,Southwestern,,,,
277,Eta Psi Lambda,"Arizona, Nevada, New Mexico",Western,,,,
369,Eta Rho,Kentucky,Midwestern,,,,
271,Eta Rho Lambda,New York,Eastern,,,,
370,Eta Sigma,Southern California,Western,,,,
